|  #  |Pokémon                      |Type 1   |Type 2   |KP     |ATK    |DEF    |SpATK  |SpDEF  |INIT   |
| 775 |Koalelu                      |Normal   |         |65     |115    |65     |75     |95     |65     |
| 776 |Tortunator                   |Feuer    |Drache   |60     |78     |135    |91     |85     |36     |
| 777 |Togedemaru                   |Elektro  |Stahl    |65     |98     |63     |40     |73     |96     |
| 778 |Mimigma                      |Geist    |Fee      |55     |90     |80     |50     |107    |96     |
| 779 |Knirfish                     |Wasser   |Psycho   |68     |105    |70     |70     |70     |92     |
| 780 |Sen-Long Mega                |Normal   |Drache   |78     |85     |110    |160    |116    |36     |
| 780 |Sen-Long                     |Normal   |Drache   |78     |60     |85     |135    |91     |36     |
| 781 |Moruda                       |Geist    |Pflanze  |70     |131    |100    |86     |90     |40     |
| 782 |Miniras                      |Drache   |         |45     |55     |65     |45     |45     |45     |
| 783 |Mediras                      |Drache   |Kampf    |55     |75     |90     |65     |75     |65     |
| 784 |Grandiras                    |Drache   |Kampf    |75     |110    |125    |100    |105    |85     |
| 785 |Kapu-Riki                    |Elektro  |Fee      |70     |115    |85     |95     |75     |130    |
| 786 |Kapu-Fala                    |Psycho   |Fee      |70     |85     |75     |130    |115    |95     |
| 787 |Kapu-Toro                    |Pflanze  |Fee      |70     |130    |115    |85     |95     |75     |
| 788 |Kapu-Kime                    |Wasser   |Fee      |70     |75     |115    |95     |130    |85     |
| 789 |Cosmog                       |Psycho   |         |43     |29     |31     |29     |31     |37     |
| 790 |Cosmovum                     |Psycho   |         |43     |29     |131    |29     |131    |37     |
| 791 |Solgaleo                     |Psycho   |Stahl    |137    |137    |107    |113    |89     |97     |
| 792 |Lunala                       |Psycho   |Geist    |137    |113    |89     |137    |107    |97     |
| 793 |Anego                        |Gestein  |Gift     |109    |53     |47     |127    |131    |103    |
| 794 |Masskito                     |Käfer    |Kampf    |107    |139    |139    |53     |53     |79     |
| 795 |Schabelle                    |Käfer    |Kampf    |71     |137    |37     |137    |37     |151    |
| 796 |Voltirant                    |Elektro  |         |83     |89     |71     |173    |71     |83     |
| 797 |Kaguron                      |Stahl    |Flug     |97     |101    |103    |107    |101    |61     |
| 798 |Katagami                     |Pflanze  |Stahl    |59     |181    |131    |59     |31     |109    |
| 799 |Schlingking                  |Unlicht  |Drache   |223    |101    |53     |97     |53     |43     |
| 800 |Necrozma Ultra               |Psycho   |Drache   |97     |167    |97     |167    |97     |129    |
| 800 |Necrozma Abendmähne          |Psycho   |Stahl    |97     |157    |127    |113    |109    |77     |
| 800 |Necrozma Morgenschwingen     |Psycho   |Geist    |97     |113    |109    |157    |127    |77     |
| 800 |Necrozma                     |Psycho   |         |97     |107    |101    |127    |89     |79     |
| 801 |Magearna                     |Stahl    |Fee      |80     |95     |115    |130    |115    |65     |
| 802 |Marshadow                    |Kampf    |Geist    |90     |125    |80     |90     |90     |125    |
| 803 |Venicro                      |Gift     |         |67     |73     |67     |73     |67     |73     |
| 804 |Agoyon                       |Gift     |Drache   |73     |73     |73     |127    |73     |121    |
| 805 |Muramura                     |Gestein  |Stahl    |61     |131    |211    |53     |101    |13     |
| 806 |Kopplosio                    |Feuer    |Geist    |53     |127    |53     |151    |79     |107    |
| 807 |Zeraora                      |Elektro  |         |88     |112    |75     |102    |80     |143    |
| 808 |Meltan                       |Stahl    |         |46     |65     |65     |55     |35     |34     |
| 809 |Melmetal                     |Stahl    |         |135    |143    |143    |80     |65     |34     |
